table,d_B,seed,status,n_rows
aux_dimension_sweep.csv,2,0,present,52
aux_dimension_sweep.csv,2,1,present,52
aux_dimension_sweep.csv,2,2,present,52
aux_dimension_sweep.csv,2,3,present,52
aux_dimension_sweep.csv,2,4,present,52
aux_dimension_sweep.csv,2,5,present,52
aux_dimension_sweep.csv,2,6,present,52
aux_dimension_sweep.csv,2,7,present,52
aux_dimension_sweep.csv,2,8,present,52
aux_dimension_sweep.csv,2,9,present,52
aux_dimension_sweep.csv,2,10,present,52
aux_dimension_sweep.csv,2,11,present,52
aux_dimension_sweep.csv,2,12,present,52
aux_dimension_sweep.csv,2,13,present,52
aux_dimension_sweep.csv,2,14,present,52
aux_dimension_sweep.csv,2,15,present,52
aux_dimension_sweep.csv,2,16,present,52
aux_dimension_sweep.csv,2,17,present,52
aux_dimension_sweep.csv,2,18,present,52
aux_dimension_sweep.csv,2,19,present,52
aux_dimension_sweep.csv,4,0,present,52
aux_dimension_sweep.csv,4,1,present,52
aux_dimension_sweep.csv,4,2,present,52
aux_dimension_sweep.csv,4,3,present,52
aux_dimension_sweep.csv,4,4,present,52
aux_dimension_sweep.csv,4,5,present,52
aux_dimension_sweep.csv,4,6,present,52
aux_dimension_sweep.csv,4,7,present,52
aux_dimension_sweep.csv,4,8,present,52
aux_dimension_sweep.csv,4,9,present,52
aux_dimension_sweep.csv,4,10,present,52
aux_dimension_sweep.csv,4,11,present,52
aux_dimension_sweep.csv,4,12,present,52
aux_dimension_sweep.csv,4,13,present,52
aux_dimension_sweep.csv,4,14,present,52
aux_dimension_sweep.csv,4,15,present,52
aux_dimension_sweep.csv,4,16,present,52
aux_dimension_sweep.csv,4,17,present,52
aux_dimension_sweep.csv,4,18,present,52
aux_dimension_sweep.csv,4,19,present,52
aux_dimension_sweep.csv,8,0,present,52
aux_dimension_sweep.csv,8,1,present,52
aux_dimension_sweep.csv,8,2,present,52
aux_dimension_sweep.csv,8,3,present,52
aux_dimension_sweep.csv,8,4,present,52
aux_dimension_sweep.csv,8,5,present,52
aux_dimension_sweep.csv,8,6,present,52
aux_dimension_sweep.csv,8,7,present,52
aux_dimension_sweep.csv,8,8,present,52
aux_dimension_sweep.csv,8,9,present,52
aux_dimension_sweep.csv,8,10,present,52
aux_dimension_sweep.csv,8,11,present,52
aux_dimension_sweep.csv,8,12,present,52
aux_dimension_sweep.csv,8,13,present,52
aux_dimension_sweep.csv,8,14,present,52
aux_dimension_sweep.csv,8,15,present,52
aux_dimension_sweep.csv,8,16,present,52
aux_dimension_sweep.csv,8,17,present,52
aux_dimension_sweep.csv,8,18,present,52
aux_dimension_sweep.csv,8,19,present,52
aux_dimension_sweep.csv,16,0,present,52
aux_dimension_sweep.csv,16,1,present,52
aux_dimension_sweep.csv,16,2,present,52
aux_dimension_sweep.csv,16,3,present,52
aux_dimension_sweep.csv,16,4,present,52
aux_dimension_sweep.csv,16,5,present,52
aux_dimension_sweep.csv,16,6,present,52
aux_dimension_sweep.csv,16,7,present,52
aux_dimension_sweep.csv,16,8,present,52
aux_dimension_sweep.csv,16,9,present,52
aux_dimension_sweep.csv,16,10,present,52
aux_dimension_sweep.csv,16,11,present,52
aux_dimension_sweep.csv,16,12,present,52
aux_dimension_sweep.csv,16,13,present,52
aux_dimension_sweep.csv,16,14,present,52
aux_dimension_sweep.csv,16,15,present,52
aux_dimension_sweep.csv,16,16,present,52
aux_dimension_sweep.csv,16,17,present,52
aux_dimension_sweep.csv,16,18,present,52
aux_dimension_sweep.csv,16,19,present,52
aux_dimension_sweep.csv,32,0,present,52
aux_dimension_sweep.csv,32,1,present,52
aux_dimension_sweep.csv,32,2,present,52
aux_dimension_sweep.csv,32,3,present,52
aux_dimension_sweep.csv,32,4,present,52
aux_dimension_sweep.csv,32,5,present,52
aux_dimension_sweep.csv,32,6,present,52
aux_dimension_sweep.csv,32,7,present,52
aux_dimension_sweep.csv,32,8,present,52
aux_dimension_sweep.csv,32,9,present,52
aux_dimension_sweep.csv,32,10,present,52
aux_dimension_sweep.csv,32,11,present,52
aux_dimension_sweep.csv,32,12,present,52
aux_dimension_sweep.csv,32,13,present,52
aux_dimension_sweep.csv,32,14,present,52
aux_dimension_sweep.csv,32,15,present,52
aux_dimension_sweep.csv,32,16,present,52
aux_dimension_sweep.csv,32,17,present,52
aux_dimension_sweep.csv,32,18,present,52
aux_dimension_sweep.csv,32,19,present,52
aux_dimension_sweep.csv,64,0,present,52
aux_dimension_sweep.csv,64,1,present,52
aux_dimension_sweep.csv,64,2,present,52
aux_dimension_sweep.csv,64,3,present,52
aux_dimension_sweep.csv,64,4,present,52
aux_dimension_sweep.csv,64,5,present,52
aux_dimension_sweep.csv,64,6,present,52
aux_dimension_sweep.csv,64,7,present,52
aux_dimension_sweep.csv,64,8,present,52
aux_dimension_sweep.csv,64,9,present,52
aux_dimension_sweep.csv,64,10,present,52
aux_dimension_sweep.csv,64,11,present,52
aux_dimension_sweep.csv,64,12,present,52
aux_dimension_sweep.csv,64,13,present,52
aux_dimension_sweep.csv,64,14,present,52
aux_dimension_sweep.csv,64,15,present,52
aux_dimension_sweep.csv,64,16,present,52
aux_dimension_sweep.csv,64,17,present,52
aux_dimension_sweep.csv,64,18,present,52
aux_dimension_sweep.csv,64,19,present,52
