table,config,model,seed,status,n_rows
dynamical_sweep_stm.csv,g0.02_epi4,AB-embedded,0,present,81
dynamical_sweep_stm.csv,g0.02_epi4,AB-embedded,1,present,81
dynamical_sweep_stm.csv,g0.02_epi4,AB-embedded,2,present,81
dynamical_sweep_stm.csv,g0.02_epi4,AB-embedded,3,present,81
dynamical_sweep_stm.csv,g0.02_epi4,AB-embedded,4,present,81
dynamical_sweep_stm.csv,g0.02_epi4,AB-embedded,5,present,81
dynamical_sweep_stm.csv,g0.02_epi4,AB-embedded,6,present,81
dynamical_sweep_stm.csv,g0.02_epi4,AB-embedded,7,present,81
dynamical_sweep_stm.csv,g0.02_epi4,AB-embedded,8,present,81
dynamical_sweep_stm.csv,g0.02_epi4,AB-embedded,9,present,81
dynamical_sweep_stm.csv,g0.02_epi4,AB-embedded,10,present,81
dynamical_sweep_stm.csv,g0.02_epi4,AB-embedded,11,present,81
dynamical_sweep_stm.csv,g0.02_epi4,AB-embedded,12,present,81
dynamical_sweep_stm.csv,g0.02_epi4,AB-embedded,13,present,81
dynamical_sweep_stm.csv,g0.02_epi4,AB-embedded,14,present,81
dynamical_sweep_stm.csv,g0.02_epi4,AB-embedded,15,missing,0
dynamical_sweep_stm.csv,g0.02_epi4,AB-embedded,16,present,81
dynamical_sweep_stm.csv,g0.02_epi4,AB-embedded,17,present,81
dynamical_sweep_stm.csv,g0.02_epi4,AB-embedded,18,present,81
dynamical_sweep_stm.csv,g0.02_epi4,AB-embedded,19,present,81
dynamical_sweep_stm.csv,M0_g0.02,M0,0,present,81
dynamical_sweep_stm.csv,M0_g0.02,M0,1,present,81
dynamical_sweep_stm.csv,M0_g0.02,M0,2,present,81
dynamical_sweep_stm.csv,M0_g0.02,M0,3,present,81
dynamical_sweep_stm.csv,M0_g0.02,M0,4,present,81
dynamical_sweep_stm.csv,M0_g0.02,M0,5,present,81
dynamical_sweep_stm.csv,M0_g0.02,M0,6,present,81
dynamical_sweep_stm.csv,M0_g0.02,M0,7,present,81
dynamical_sweep_stm.csv,M0_g0.02,M0,8,present,81
dynamical_sweep_stm.csv,M0_g0.02,M0,9,present,81
dynamical_sweep_stm.csv,M0_g0.02,M0,10,present,81
dynamical_sweep_stm.csv,M0_g0.02,M0,11,present,81
dynamical_sweep_stm.csv,M0_g0.02,M0,12,present,81
dynamical_sweep_stm.csv,M0_g0.02,M0,13,present,81
dynamical_sweep_stm.csv,M0_g0.02,M0,14,present,81
dynamical_sweep_stm.csv,M0_g0.02,M0,15,present,81
dynamical_sweep_stm.csv,M0_g0.02,M0,16,present,81
dynamical_sweep_stm.csv,M0_g0.02,M0,17,present,81
dynamical_sweep_stm.csv,M0_g0.02,M0,18,present,81
dynamical_sweep_stm.csv,M0_g0.02,M0,19,present,81
dynamical_sweep_stm.csv,g0.05_epi4,AB-embedded,0,present,81
dynamical_sweep_stm.csv,g0.05_epi4,AB-embedded,1,present,81
dynamical_sweep_stm.csv,g0.05_epi4,AB-embedded,2,present,81
dynamical_sweep_stm.csv,g0.05_epi4,AB-embedded,3,present,81
dynamical_sweep_stm.csv,g0.05_epi4,AB-embedded,4,present,81
dynamical_sweep_stm.csv,g0.05_epi4,AB-embedded,5,present,81
dynamical_sweep_stm.csv,g0.05_epi4,AB-embedded,6,present,81
dynamical_sweep_stm.csv,g0.05_epi4,AB-embedded,7,present,81
dynamical_sweep_stm.csv,g0.05_epi4,AB-embedded,8,present,81
dynamical_sweep_stm.csv,g0.05_epi4,AB-embedded,9,present,81
dynamical_sweep_stm.csv,g0.05_epi4,AB-embedded,10,present,81
dynamical_sweep_stm.csv,g0.05_epi4,AB-embedded,11,present,81
dynamical_sweep_stm.csv,g0.05_epi4,AB-embedded,12,present,81
dynamical_sweep_stm.csv,g0.05_epi4,AB-embedded,13,present,81
dynamical_sweep_stm.csv,g0.05_epi4,AB-embedded,14,present,81
