d_B,n_b_qubits,trial,value,omega,eta_ab
2,1,0,0.25822650922104773,0.3745401188473625,1.4483071096990625
2,1,1,0.21325899117650043,0.7319939418114051,0.9305046995616021
2,1,2,0.19425722270406615,0.15601864044243652,0.2794361675106186
2,1,3,0.25369791922974033,0.05808361216819946,1.3239686935631354
2,1,4,0.21792341647914326,0.6011150117432088,1.0914305465266174
2,1,5,0.26847945556472197,0.020584494295802447,1.4765398478820424
2,1,6,0.24899606036396557,0.8324426408004217,0.36230758402050356
2,1,7,0.20029396311585296,0.18182496720710062,0.31975067941004887
2,1,8,0.24081187817548744,0.3042422429595377,0.8218098321066927
2,1,9,0.23467457322088348,0.43194501864211576,0.478338749658916
2,1,10,0.1612224024793858,0.9525006230884021,0.058820634662532845
2,1,11,0.25392233216851445,0.4681549541143999,1.4802464588228361
2,1,12,0.23220627738939703,0.029524205319928276,1.280899085796312
2,1,13,0.2587915723312002,0.3123645173047565,1.4998198816967967
2,1,14,0.259031125897321,0.2316275646090606,1.1360441628665454
2,1,15,0.27049557157145515,0.17028488967556443,1.1392099663715478
2,1,16,0.2350313905629264,0.013146959202394476,0.756032565916949
2,1,17,0.2749250465918731,0.14156330794828348,1.1448774329633278
2,1,18,0.22478155650603476,0.5446378307984856,1.0369776924541776
2,1,19,0.23489745355719946,0.13848003375638782,0.6756989329737326
2,1,20,0.23471809340394958,0.2701445261320503,1.248349841580975
2,1,21,0.2660725991167178,0.11046352156580967,1.2111599692314798
2,1,22,0.26015315847181075,0.09556341808597023,0.9385911182463771
2,1,23,0.26192727174929376,0.20809611239458475,1.3789265727610116
2,1,24,0.27087333144425624,0.08957551271129285,1.0043027879773558
2,1,25,0.23851956558011195,0.3574360375054221,0.9799085160560609
2,1,26,0.2558311042443939,0.22467325646820874,1.1601745208647076
2,1,27,0.23719528597622327,0.12712581949574225,0.623226486071297
2,1,28,0.2673102989844508,0.0842706591704292,0.8364875280948897
2,1,29,0.2425518813050052,0.38078633936064554,1.0685082958042336
2,1,30,0.25601158528038853,0.25077191883621175,1.3742888987332589
2,1,31,0.26387409077179813,0.014337320004863919,1.4044609775631776
4,2,0,0.27991846472766035,0.3745401188473625,1.4483071096990625
4,2,1,0.21512007902245606,0.7319939418114051,0.9305046995616021
4,2,2,0.22184316357310488,0.15601864044243652,0.2794361675106186
4,2,3,0.33850090100259767,0.05808361216819946,1.3239686935631354
4,2,4,0.22707793939200682,0.6011150117432088,1.0914305465266174
4,2,5,0.3194160893335506,0.020584494295802447,1.4765398478820424
4,2,6,0.27263639509644894,0.8324426408004217,0.36230758402050356
4,2,7,0.2287711734187795,0.18182496720710062,0.31975067941004887
4,2,8,0.29582022905860905,0.3042422429595377,0.8218098321066927
4,2,9,0.24631889812274263,0.43194501864211576,0.478338749658916
4,2,10,0.1652075223602661,0.9522541012238168,0.058820634662532845
4,2,11,0.3057808145841714,0.007547319316293044,1.4664434609257273
4,2,12,0.29940541648334446,0.00922651353140528,1.2298726194747474
4,2,13,0.307049796797123,0.19920073606111174,1.229808455480034
4,2,14,0.34014770997045646,0.09696877974827961,1.5172201550751743
4,2,15,0.3295659746587996,0.14339600191863783,1.2198618467159377
4,2,16,0.2622796728604699,0.5042398004465429,0.7863925615859243
4,2,17,0.30128054757456335,0.30081331820694523,1.337450551871678
4,2,18,0.3347209383762532,0.11980196439558222,1.0377268323766664
4,2,19,0.31076976154833724,0.2669910729453694,1.341930959235606
4,2,20,0.3399784549315065,0.091998349829334,1.519252155019714
4,2,21,0.3482999192827527,0.08299894726335251,1.3461568356558897
4,2,22,0.3397094671763327,0.10719307346281523,1.5148643952592218
4,2,23,0.31910244245847547,0.22441462421033634,1.104983649078037
4,2,24,0.34288355695848505,0.08785209490769495,1.3244030192211327
4,2,25,0.31911420076995156,0.24051659010391774,1.3506529697936116
4,2,26,0.27152287091091654,0.3536863659825145,1.2004995546520603
4,2,27,0.3456864196095561,0.0727421285625064,0.9611944460442705
4,2,28,0.2722796140531854,0.16884124167273057,0.652659718363797
4,2,29,0.26404315031379555,0.4335782861980577,0.9819045725810712
4,2,30,0.337277196910599,0.052065091646419724,0.8544547881073492
4,2,31,0.34985591401844957,0.07234028289348726,1.4025277259632543
8,3,0,0.24498284459434316,0.3745401188473625,1.4483071096990625
8,3,1,0.161981799350187,0.7319939418114051,0.9305046995616021
