model,seed,task,nmse,nrmse,r2
ABC-noaux-kraus,0,NARMA10,0.3360301947210812,0.5796811146838244,0.6639698052789187
ABC-noaux-kraus,1,NARMA10,,,
ABC-noaux-kraus,2,NARMA10,0.3230992103741992,0.5684181650635377,0.6769007896258008
ABC-noaux-kraus,3,NARMA10,0.3439143988956134,0.5864421530684961,0.6560856011043865
ABC-noaux-kraus,4,NARMA10,0.30780850905492835,0.5548049288307814,0.6921914909450716
ABC-noaux-kraus,5,NARMA10,0.35827683643297525,0.5985623078953228,0.6417231635670247
ABC-noaux-kraus,6,NARMA10,0.33564979116013793,0.5793529072682193,0.6643502088398621
ABC-noaux-kraus,7,NARMA10,0.37277666367474543,0.6105543904311437,0.6272233363252546
ABC-noaux-kraus,8,NARMA10,0.3688097839557472,0.6072971134096944,0.6311902160442528
ABC-noaux-kraus,9,NARMA10,0.4161159214397161,0.6450704778857238,0.5838840785602839
ABC-noaux-kraus,10,NARMA10,0.32996272328061904,0.5744238185178423,0.670037276719381
ABC-noaux-kraus,11,NARMA10,0.36308351817434575,0.6025641195543805,0.6369164818256542
ABC-noaux-kraus,12,NARMA10,0.3573776530860568,0.5978107167708328,0.6426223469139432
ABC-noaux-kraus,13,NARMA10,0.3445196943828655,0.5869580005271804,0.6554803056171346
ABC-noaux-kraus,14,NARMA10,0.3844505995219366,0.6200408047233155,0.6155494004780635
ABC-noaux-kraus,15,NARMA10,0.310844254302519,0.5575340835343782,0.6891557456974811
ABC-noaux-kraus,16,NARMA10,0.3558379851952583,0.5965215714416858,0.6441620148047417
ABC-noaux-kraus,17,NARMA10,0.3625911063253211,0.6021553838714067,0.6374088936746789
ABC-noaux-kraus,18,NARMA10,0.30466358651670844,0.5519633923700995,0.6953364134832916
ABC-noaux-kraus,19,NARMA10,0.30579049847399636,0.5529832714232831,0.6942095015260037
ABC-noaux-tied,0,NARMA10,0.2036442101566428,0.45126955376652966,0.7963557898433572
ABC-noaux-tied,1,NARMA10,,,
ABC-noaux-tied,2,NARMA10,0.26125101622490965,0.5111272016092566,0.7387489837750902
ABC-noaux-tied,3,NARMA10,0.2384463842753943,0.48830972166791264,0.7615536157246057
ABC-noaux-tied,4,NARMA10,0.15664283398008538,0.3957812956420318,0.8433571660199146
ABC-noaux-tied,5,NARMA10,0.2770742060893026,0.5263783867991757,0.7229257939106973
ABC-noaux-tied,6,NARMA10,0.1948243217319145,0.4413890820261807,0.8051756782680854
ABC-noaux-tied,7,NARMA10,0.17917964471210837,0.423296166663612,0.8208203552878917
ABC-noaux-tied,8,NARMA10,0.21642448706169234,0.4652144527652729,0.7835755129383077
ABC-noaux-tied,9,NARMA10,0.23236201121710132,0.48203942911042175,0.7676379887828987
ABC-noaux-tied,10,NARMA10,0.1492257392699466,0.3862974751016975,0.8507742607300535
ABC-noaux-tied,11,NARMA10,0.19780024863858128,0.44474739868669416,0.8021997513614187
ABC-noaux-tied,12,NARMA10,0.22148429706718462,0.4706211821276053,0.7785157029328154
ABC-noaux-tied,13,NARMA10,0.19645431664661606,0.44323167378540995,0.8035456833533839
ABC-noaux-tied,14,NARMA10,0.2071951157740877,0.4551869020238694,0.7928048842259123
ABC-noaux-tied,15,NARMA10,0.23408661128001013,0.4838249800082775,0.7659133887199898
ABC-noaux-tied,16,NARMA10,0.1963395466178999,0.4431021853002983,0.8036604533821001
ABC-noaux-tied,17,NARMA10,0.24538463848074418,0.4953631379914579,0.7546153615192558
ABC-noaux-tied,18,NARMA10,0.17959091272057012,0.42378168049193693,0.8204090872794298
ABC-noaux-tied,19,NARMA10,0.24704600721688816,0.49703722920611104,0.7529539927831118
AB-embedded,0,NARMA10,0.19597371183455872,0.44268918197145807,0.8040262881654413
AB-embedded,1,NARMA10,,,
AB-embedded,2,NARMA10,0.1833892653793244,0.42823972886611583,0.8166107346206756
AB-embedded,3,NARMA10,0.1863617562375545,0.4316963704243464,0.8136382437624455
AB-embedded,4,NARMA10,0.16412835628041306,0.4051275802514722,0.835871643719587
AB-embedded,5,NARMA10,0.20811607015897782,0.45619740262191083,0.7918839298410222
AB-embedded,6,NARMA10,0.2776685447180728,0.5269426389257874,0.7223314552819272
AB-embedded,7,NARMA10,0.24060045120566093,0.4905103986723023,0.759399548794339
AB-embedded,9,NARMA10,0.2060839895458909,0.4539647448270525,0.7939160104541091
AB-embedded,10,NARMA10,0.17860462992945972,0.4226164099150194,0.8213953700705403
AB-embedded,11,NARMA10,0.19275945523157348,0.43904379648455744,0.8072405447684265
AB-embedded,12,NARMA10,0.25352007387100206,0.5035077694246655,0.7464799261289979
AB-embedded,13,NARMA10,0.22294509716784924,0.47217062294031936,0.7770549028321507
AB-embedded,14,NARMA10,0.27711204081639296,0.5264143242887611,0.722887959183607
AB-embedded,15,NARMA10,0.15513294394216906,0.39386919648808416,0.844867056057831
AB-embedded,16,NARMA10,0.25270969774844027,0.5027023948107272,0.7472903022515598
AB-embedded,17,NARMA10,0.25076401423223793,0.5007634314047282,0.7492359857677621
AB-embedded,18,NARMA10,0.16040668181776957,0.40050802965454957,0.8395933181822304
AB-embedded,19,NARMA10,0.16926592649667055,0.4114194046185359,0.8307340735033295
ABC-embedded-hierarchical,0,NARMA10,0.2643581355392053,0.5141576952056687,0.7356418644607947
ABC-embedded-hierarchical,1,NARMA10,,,
ABC-embedded-hierarchical,2,NARMA10,0.23413969633320494,0.4838798366673331,0.765860303666795
ABC-embedded-hierarchical,3,NARMA10,0.24659019522493794,0.49657848848388303,0.753409804775062
ABC-embedded-hierarchical,4,NARMA10,0.17430817093040946,0.4175023005091223,0.8256918290695905
ABC-embedded-hierarchical,5,NARMA10,0.22938072600938084,0.4789370793845271,0.7706192739906192
ABC-embedded-hierarchical,6,NARMA10,0.2500802204704112,0.5000802140361196,0.7499197795295889
ABC-embedded-hierarchical,7,NARMA10,0.2667578402676904,0.5164860504095831,0.7332421597323096
ABC-embedded-hierarchical,8,NARMA10,0.272673027020413,0.5221810289740647,0.727326972979587
ABC-embedded-hierarchical,9,NARMA10,0.27564727186399357,0.5250212108705643,0.7243527281360065
ABC-embedded-hierarchical,10,NARMA10,0.2166138966021561,0.4654179805316465,0.783386103397844
ABC-embedded-hierarchical,11,NARMA10,0.28476902597568227,0.5336375417600249,0.7152309740243177
ABC-embedded-hierarchical,12,NARMA10,0.35182543106575787,0.5931487427835938,0.6481745689342422
