model,seed,nrmse_tf,r2_tf,nrmse_rollout,r2_rollout,vpt
ABC-noaux-kraus,0,0.2239629934092588,0.9498405775831643,17.981486732318352,-322.33386510454096,1
ABC-noaux-kraus,1,0.22495498671189837,0.9493952539534496,22.079523498031918,-486.50535790014357,0
ABC-noaux-kraus,2,0.24368174987714616,0.9406192047768119,16.176602652359012,-260.6824733723086,3
ABC-noaux-kraus,3,0.23053018124038743,0.9468558355372741,21.194849611014625,-448.2216500335268,4
ABC-noaux-kraus,4,0.21989344737726826,0.9516468718005405,20.81522041050563,-432.2734007379302,3
ABC-noaux-kraus,5,0.2258814487337454,0.9489775711179443,14.129637386047522,-198.64665266119187,3
ABC-noaux-kraus,6,0.2560959093115697,0.9344148852338803,13.073906904295123,-169.9270417421757,0
ABC-noaux-kraus,7,0.24028509364866082,0.9422630737702543,16.890512275432783,-284.28940492654556,1
ABC-noaux-kraus,8,0.2371987224206831,0.9437367660819957,19.725476750467966,-388.0944330332522,0
ABC-noaux-kraus,9,0.24944603996637454,0.9377766731450938,20.263960606054383,-409.62809944372384,0
ABC-noaux-kraus,10,0.2242829759922286,0.9496971466800694,32.13325144926725,-1031.5458487018357,5
ABC-noaux-kraus,11,0.24652381602678797,0.9392260081315904,26.56168573620587,-704.5231491489624,3
ABC-noaux-kraus,12,0.2908646933841682,0.9153977301425338,22.510763226677344,-505.73446104752895,0
ABC-noaux-kraus,13,0.234187795217299,0.9451560765712604,19.622549715448663,-384.04445733525444,0
ABC-noaux-kraus,14,0.24757662468194455,0.9387058149110956,18.91555595107246,-356.7982569381527,0
ABC-noaux-kraus,15,0.23784150666755013,0.9434314177061097,14.622266599714827,-212.81068051313582,0
ABC-noaux-kraus,16,0.24458099757886934,0.9401801356233251,14.26115831524039,-202.3806364923501,3
ABC-noaux-kraus,17,0.25688693932952056,0.9340091004019112,17.217645877724937,-295.44732957073853,0
ABC-noaux-kraus,18,0.23655063875916577,0.9440437953026307,15.192545181864732,-229.8134291030013,4
ABC-noaux-kraus,19,0.2360876943401517,0.9442626005811511,20.869430115773312,-434.5331133571461,4
ABC-noaux-tied,0,0.08456280989637993,0.9928491311824287,11.372383142247958,-128.33109833408557,3
ABC-noaux-tied,1,0.08427460804889908,0.9928977904382045,14.576352642451583,-211.47005635710528,4
ABC-noaux-tied,2,0.09605611263126125,0.9907732232261705,8.440296615736344,-70.23860696161039,6
ABC-noaux-tied,3,0.09079097233023509,0.9917569993433305,21.181825765720532,-447.6697427693422,3
ABC-noaux-tied,4,0.09272903530349814,0.9914013260116826,8.034415853645898,-63.55183810931655,9
ABC-noaux-tied,5,0.09131238345772644,0.9916620486272691,8.03107876941945,-63.498226200619825,3
ABC-noaux-tied,6,0.08496982879521531,0.9927801281945118,10.816574937924022,-115.99829338772606,3
ABC-noaux-tied,7,0.08573790294014902,0.9926490119994256,19.432953338713563,-376.63967546461856,4
ABC-noaux-tied,8,0.08028678933831354,0.9935540314577452,19.332147569664134,-372.7319296552709,5
ABC-noaux-tied,9,0.08409557477421148,0.992927934303395,12.318333394053633,-150.74133760705692,3
ABC-noaux-tied,10,0.08048975372337464,0.9935213995455505,22.968039415443805,-526.5308345893802,4
ABC-noaux-tied,11,0.08087277474331216,0.9934595943053175,11.487135977223252,-130.95429295921682,10
ABC-noaux-tied,12,0.10680270525408923,0.9885931821504081,11.409628893707854,-129.1796314921331,3
ABC-noaux-tied,13,0.09312254802422278,0.9913281910494763,22.529049606127632,-506.55807615535963,6
ABC-noaux-tied,14,0.0779432163246788,0.9939248550289643,15.61747042278358,-242.90538240651995,5
ABC-noaux-tied,15,0.07911615660752552,0.9937406337636535,11.237719363742302,-125.28633649822868,3
ABC-noaux-tied,16,0.07852996349742984,0.9938330448330923,11.261376471040647,-125.8186000225079,2
ABC-noaux-tied,17,0.08063872172451965,0.9934973965586354,14.299299462276604,-203.46996511186396,4
ABC-noaux-tied,18,0.08663566261152025,0.9924942619638628,15.012485733112294,-224.3747278869002,3
ABC-noaux-tied,19,0.08972317184516818,0.9919497524340424,15.159939863436394,-228.8237766630079,0
AB-embedded,0,0.08680765413362361,0.9924644311838172,14.225011904226648,-201.35096367538983,3
AB-embedded,1,0.09460868208302499,0.9910491972745131,11.409847287660625,-129.18461512773652,3
AB-embedded,2,0.095051530703526,0.9909652065109167,11.892457231268011,-140.4305389975388,3
AB-embedded,3,0.09169486552326944,0.9915920516366695,13.654109032855422,-185.43469348110403,4
AB-embedded,4,0.09526979416062947,0.9909236663205913,7.74547269898953,-58.99234733079215,5
AB-embedded,5,0.09246443377018508,0.9914503284875591,10.057531878724408,-100.1539474915577,3
AB-embedded,6,0.10299299628230164,0.9893924427167938,10.284011708184117,-104.760896814068,3
AB-embedded,7,0.09969128472604168,0.9900616477496713,9.644086335691599,-92.00840125027341,4
AB-embedded,8,0.11667013512501544,0.9863880795699106,12.178795914883237,-147.3230699363766,3
AB-embedded,9,0.09889580095743628,0.9902196205529872,13.669689373110494,-185.86040755732995,3
AB-embedded,10,0.08970676547090886,0.9919526962287474,12.718014531902071,-160.74789363367225,3
AB-embedded,11,0.09467771998750046,0.9910361293379685,15.02587716745207,-224.77698465135742,4
AB-embedded,12,0.11473930372451777,0.9868348921808129,11.174070692083188,-123.85985583167246,1
AB-embedded,13,0.10579374693718457,0.9888076831089909,11.813065674304113,-138.54852062542207,3
AB-embedded,14,0.10160074533757955,0.9896772885468483,11.50376703292545,-131.33665594782244,3
AB-embedded,15,0.09207277259575021,0.9915226045465313,10.177102896115162,-102.5734233581156,3
AB-embedded,16,0.08976035600471435,0.9919430784899069,8.740851884788682,-75.40249167181388,15
AB-embedded,17,0.08912284122436362,0.9920571191720968,19.060599781235645,-362.30646402044033,4
AB-embedded,18,0.09875176406555806,0.9902480890939404,16.096599304803735,-258.1005091794081,3
AB-embedded,19,0.09584002819819164,0.9908146889949698,13.823160294961916,-190.07976054021162,4
ABC-embedded-hierarchical,0,0.0781728315861412,0.9938890084018048,9.376929092397194,-86.92679920384488,3
ABC-embedded-hierarchical,1,0.08751414879257444,0.9923412737611111,11.65809762154132,-134.91124015338735,4
ABC-embedded-hierarchical,2,0.0887517227004894,0.9921231317176954,10.308870433679134,-105.27280961838382,2
ABC-embedded-hierarchical,3,0.08801458348644174,0.9922534330937082,11.218092455278741,-124.84559833518182,3
ABC-embedded-hierarchical,4,0.09605887027660605,0.9907726934411821,10.128964938946076,-101.5959307343989,5
ABC-embedded-hierarchical,5,0.08387876440641155,0.9929643528816537,10.602391673682291,-111.41070920216757,3
ABC-embedded-hierarchical,6,0.09411189808550234,0.991142950638744,5.809224303963303,-32.74708701375792,3
ABC-embedded-hierarchical,7,0.0949259503660681,0.9909890639470987,17.352341224533166,-300.10374597263313,3
ABC-embedded-hierarchical,8,0.10204409162895024,0.9895870033636224,12.253952442602008,-149.1593504655517,3
ABC-embedded-hierarchical,9,0.09295000513046321,0.9913602965462469,12.936061534119535,-166.34168801452705,3
ABC-embedded-hierarchical,10,0.08765830906881172,0.9923160208511966,15.383444893839616,-235.65037680180015,4
ABC-embedded-hierarchical,11,0.09334150707924474,0.9912873630561753,16.01324635587707,-255.42405885401018,4
ABC-embedded-hierarchical,12,0.11126253148043672,0.9876206490885648,12.01401532122656,-143.33656413866652,3
ABC-embedded-hierarchical,13,0.09260090556484361,0.9914250722885709,17.4637073822833,-303.98107553401627,4
ABC-embedded-hierarchical,14,0.1028163996642585,0.9894287879600795,11.54641948299139,-132.31980287720316,3
ABC-embedded-hierarchical,15,0.07491346851223381,0.9943879722354666,7.432819378891711,-54.246803919228164,3
ABC-embedded-hierarchical,16,0.07980886294139865,0.993630545396001,11.60518884068426,-133.68040802794246,3
ABC-embedded-hierarchical,17,0.08279773354857987,0.9931445353192184,11.852243357853318,-139.4756726137781,3
ABC-embedded-hierarchical,18,0.08579482784353787,0.9926392475152978,16.19801311372399,-261.37562883237445,3
ABC-embedded-hierarchical,19,0.08674940677693979,0.9924745404238491,12.075485431605545,-144.81734840891775,4
M0-noaux,0,0.27521832499164556,0.924254873588793,10.389536003662583,-106.94245837140107,0
M0-noaux,1,0.16383994482438552,0.9731564724799423,6.120781246701271,-36.463963069969964,3
M0-noaux,2,0.17589161659450492,0.9690621392117716,1.087264128833633,-0.18214328584835915,1
M0-noaux,3,0.2242848447951317,0.9496963083952237,7.152177500571857,-50.15364299968629,1
M0-noaux,4,0.1817499598703928,0.9669669520871106,5.757592170458062,-32.149867601319976,2
M0-noaux,5,0.17775622848245795,0.9684027232356922,0.9889327046850849,0.022012105604242604,0
M0-noaux,6,0.16861705797057958,0.9715682877613462,5.644405124141987,-30.859309205440322,1
M0-noaux,7,0.1860364835263956,0.9653904267971332,8.86078764177704,-77.51355763266872,2
M0-noaux,8,0.14738396976717838,0.9782779654556675,1.268979029793266,-0.6103077780550583,0
M0-noaux,9,0.1473510501099445,0.9782876680314966,9.856923190582457,-96.15893478504222,0
M0-noaux,10,0.16060390877838665,0.9742063844851037,4.141069721111046,-16.148458435102718,2
M0-noaux,11,0.17847563151313844,0.9681464489559864,8.042377641110841,-63.67983812223959,0
M0-noaux,12,0.2099603256313711,0.9559166616607686,2.0582067476298667,-3.2362150159891128,0
M0-noaux,13,0.19999250723131265,0.9600029970513334,9.22373755208932,-84.07733442982267,4
M0-noaux,14,0.17092070844726034,0.9707861114238866,4.519113172258937,-19.422383863684235,1
M0-noaux,15,0.2547980246453561,0.9350779666368245,7.363726486514847,-53.224467768200284,1
M0-noaux,16,0.22289690559873696,0.9503169694745077,5.402493920898178,-28.186940565341768,6
M0-noaux,17,0.21269685710018235,0.9547600469797046,8.278516753719922,-67.53383964162144,0
M0-noaux,18,0.2576310510353326,0.9336262415424299,12.612056740683911,-158.06397523023048,1
M0-noaux,19,0.1861901077527228,0.9653332437750295,2.067874048349723,-3.2761030798382738,0
AB-Markov,0,0.23687347488547497,0.9438909568956803,8.477941796402819,-70.87549710319387,1
AB-Markov,1,0.2313097838653098,0.9464957838881837,8.251910873521096,-67.09403306453571,0
AB-Markov,2,0.21574973954554308,0.9534520498860303,8.395422862177433,-69.48312503477153,0
AB-Markov,3,0.20700158826215984,0.9571503424569432,6.233455792791229,-37.85597112068253,0
AB-Markov,4,0.22529889027474692,0.9492404100409676,8.328654481980829,-68.36648548021934,0
AB-Markov,5,0.2081692927204355,0.9566655455682737,7.589403062510821,-56.59903884524863,0
AB-Markov,6,0.20338813427847763,0.9586332668347199,5.684171042044036,-31.309800435211983,0
AB-Markov,7,0.22547959686774438,0.9491589513963595,6.839006881432486,-45.77201512428089,0
AB-Markov,8,0.22354875167814084,0.950025955623145,8.913517297903782,-78.45079062002993,0
AB-Markov,9,0.23234665886557995,0.9460150301140018,9.39485595134573,-87.26331834653628,0
AB-Markov,10,0.24528901092146335,0.9398333011211703,8.821190149612512,-76.81339565562082,1
AB-Markov,11,0.21993388710954614,0.9516290853008854,7.025831737483878,-48.36231160343573,0
AB-Markov,12,0.2651250074025759,0.9297087304497841,8.52593947602618,-71.69164394886155,1
AB-Markov,13,0.24979995834012397,0.9375999808132723,8.698586860055714,-74.66541336193393,1
AB-Markov,14,0.20855082078468018,0.9565065551500362,6.275701913865656,-38.38443451169706,0
AB-Markov,15,0.21714461968996748,0.9528482141396993,7.216823914095691,-51.08254740706345,0
AB-Markov,16,0.20085966620281054,0.9596553944928955,4.698539486178616,-21.076273303179608,0
AB-Markov,17,0.2195235673707749,0.9518094033688088,7.452741002733404,-54.543348453823704,0
AB-Markov,18,0.2104859148185371,0.9556956796630035,6.3034552011550256,-38.73354747296834,0
AB-Markov,19,0.21023745442490196,0.9558002127569373,6.588365357381597,-42.40655808234593,0
