seed,topology,d_B,task,tau,capacity
0,parallel,64,stm_linear,0,0.9764034249101653
0,parallel,64,stm_linear,1,0.9992273287594696
0,parallel,64,stm_linear,2,0.9986779225744392
0,parallel,64,stm_linear,3,0.9969656454359053
0,parallel,64,stm_linear,4,0.9902562790956401
0,parallel,64,stm_linear,5,0.9850873743039463
0,parallel,64,stm_linear,6,0.9745409274128095
0,parallel,64,stm_linear,7,0.9588184106115668
0,parallel,64,stm_linear,8,0.9539136605386564
0,parallel,64,stm_linear,9,0.9030520328400132
0,parallel,64,stm_linear,10,0.8803146796650039
0,parallel,64,stm_linear,11,0.7656561643120087
0,parallel,64,stm_linear,12,0.5679590220957805
0,parallel,64,stm_linear,13,0.5633601746628996
0,parallel,64,stm_linear,14,0.498578050905242
0,parallel,64,stm_linear,15,0.4766860169665575
0,parallel,64,stm_linear,16,0.3398328291347514
0,parallel,64,stm_linear,17,0.20846460604998404
0,parallel,64,stm_linear,18,0.22188971618143616
0,parallel,64,stm_linear,19,0.03600628848134494
0,parallel,64,stm_linear,20,0.10745223564234337
0,parallel,64,stm_linear,21,0.026051668416788448
0,parallel,64,stm_linear,22,0.058183567678214664
0,parallel,64,stm_linear,23,0.015174381102633454
0,parallel,64,stm_linear,24,0.010461175839612315
0,parallel,64,stm_linear,25,0.00930855193319978
0,parallel,64,stm_linear,26,0.0010899714681176119
0,parallel,64,stm_linear,27,0.00131316011677356
0,parallel,64,stm_linear,28,2.1437827998214844e-05
0,parallel,64,stm_linear,29,0.00018131688036861104
0,parallel,64,stm_linear,30,0.003947582738893565
0,parallel,64,stm_linear,31,0.00027884266105120565
0,parallel,64,stm_linear,32,0.0001528157308864495
0,parallel,64,stm_linear,33,0.0017381428787039094
0,parallel,64,stm_linear,34,3.774558607339555e-05
0,parallel,64,stm_linear,35,0.003803939844467172
0,parallel,64,stm_linear,36,0.00577656757472098
0,parallel,64,stm_linear,37,0.003389849421901738
0,parallel,64,stm_linear,38,0.0001902243750469365
0,parallel,64,stm_linear,39,0.0010197467633476288
0,parallel,64,stm_linear,40,0.001403968587699049
0,parallel,64,stm_linear,41,0.001039874818153047
0,parallel,64,stm_linear,42,0.000608828216926356
0,parallel,64,stm_linear,43,3.956304698718607e-07
0,parallel,64,stm_linear,44,2.7741130295455443e-05
0,parallel,64,stm_linear,45,0.0002208521715774804
0,parallel,64,stm_linear,46,0.0012066588382731343
0,parallel,64,stm_linear,47,0.0002442322428031423
0,parallel,64,stm_linear,48,0.0024835398048549586
0,parallel,64,stm_linear,49,0.00019125532476956948
0,parallel,64,stm_linear,50,0.0011274227068462058
0,parallel,64,s10_x_s20,-1,0.39263538301914164
1,parallel,64,stm_linear,0,0.9605241612369698
1,parallel,64,stm_linear,1,0.9988824503293778
1,parallel,64,stm_linear,2,0.9969141062027872
1,parallel,64,stm_linear,3,0.9897652441460204
1,parallel,64,stm_linear,4,0.9819911054960306
1,parallel,64,stm_linear,5,0.9692502339764069
1,parallel,64,stm_linear,6,0.9687279913166631
1,parallel,64,stm_linear,7,0.918205657334676
1,parallel,64,stm_linear,8,0.9244726174359339
1,parallel,64,stm_linear,9,0.919786659720012
1,parallel,64,stm_linear,10,0.8641122549583125
1,parallel,64,stm_linear,11,0.780123916302969
1,parallel,64,stm_linear,12,0.7295648464502101
1,parallel,64,stm_linear,13,0.6874048339446034
1,parallel,64,stm_linear,14,0.6206184989569875
1,parallel,64,stm_linear,15,0.5673716800068369
1,parallel,64,stm_linear,16,0.3518773850637633
1,parallel,64,stm_linear,17,0.30198203114519295
1,parallel,64,stm_linear,18,0.34834433283344957
1,parallel,64,stm_linear,19,0.14983335282454682
1,parallel,64,stm_linear,20,0.1416003779235865
1,parallel,64,stm_linear,21,0.08982496527913729
1,parallel,64,stm_linear,22,0.03385374934373847
1,parallel,64,stm_linear,23,0.019181364101880292
1,parallel,64,stm_linear,24,0.003206532786672173
1,parallel,64,stm_linear,25,0.012377649091536554
1,parallel,64,stm_linear,26,0.0013144578270769156
1,parallel,64,stm_linear,27,0.00097735513853338
1,parallel,64,stm_linear,28,0.0009893298531228043
1,parallel,64,stm_linear,29,2.74782858236269e-06
1,parallel,64,stm_linear,30,0.0003913570191440125
1,parallel,64,stm_linear,31,0.00039685942059644087
1,parallel,64,stm_linear,32,0.0008845905185840827
1,parallel,64,stm_linear,33,0.0004420216309164538
1,parallel,64,stm_linear,34,0.0002080276075468945
1,parallel,64,stm_linear,35,0.0008746262140524551
1,parallel,64,stm_linear,36,0.00033230920768912965
1,parallel,64,stm_linear,37,0.0028323966663180095
1,parallel,64,stm_linear,38,2.0085500587740132e-05
1,parallel,64,stm_linear,39,5.456701162936481e-05
1,parallel,64,stm_linear,40,0.0028808630898503698
1,parallel,64,stm_linear,41,0.001452698881819271
1,parallel,64,stm_linear,42,0.00030318904558618754
1,parallel,64,stm_linear,43,0.0002995863710068378
1,parallel,64,stm_linear,44,9.642088800943243e-06
1,parallel,64,stm_linear,45,0.0002511934578873461
1,parallel,64,stm_linear,46,0.004183688293023431
1,parallel,64,stm_linear,47,2.2469323435840262e-05
1,parallel,64,stm_linear,48,2.3424215765866702e-05
1,parallel,64,stm_linear,49,0.003071563690871923
1,parallel,64,stm_linear,50,0.003441368311645746
1,parallel,64,s10_x_s20,-1,0.45346059465689476
2,parallel,64,stm_linear,0,0.9509834436329286
2,parallel,64,stm_linear,1,0.9979900709322092
2,parallel,64,stm_linear,2,0.9963830590304551
2,parallel,64,stm_linear,3,0.9897403928791689
2,parallel,64,stm_linear,4,0.9802013664436269
2,parallel,64,stm_linear,5,0.9769510216334456
2,parallel,64,stm_linear,6,0.9742540807014739
2,parallel,64,stm_linear,7,0.9234139136884201
2,parallel,64,stm_linear,8,0.9297219275714302
2,parallel,64,stm_linear,9,0.9264225338100854
2,parallel,64,stm_linear,10,0.8711952685477321
2,parallel,64,stm_linear,11,0.8033723011002415
2,parallel,64,stm_linear,12,0.7448448423968015
2,parallel,64,stm_linear,13,0.7388838020184764
2,parallel,64,stm_linear,14,0.6470683408560272
2,parallel,64,stm_linear,15,0.6175380282219033
2,parallel,64,stm_linear,16,0.41859682234887186
2,parallel,64,stm_linear,17,0.4042769096803453
2,parallel,64,stm_linear,18,0.26289834250413413
2,parallel,64,stm_linear,19,0.09031023328609591
2,parallel,64,stm_linear,20,0.23819322176282015
2,parallel,64,stm_linear,21,0.07454710326573072
2,parallel,64,stm_linear,22,0.04121955708514894
2,parallel,64,stm_linear,23,0.017470122558943736
2,parallel,64,stm_linear,24,0.028351565670069447
2,parallel,64,stm_linear,25,0.009171375886793735
2,parallel,64,stm_linear,26,0.0054476987613553875
2,parallel,64,stm_linear,27,0.007660632937556474
2,parallel,64,stm_linear,28,0.01187622033587652
2,parallel,64,stm_linear,29,7.236440809503448e-05
2,parallel,64,stm_linear,30,0.003312356488242791
2,parallel,64,stm_linear,31,0.0016874833965301655
2,parallel,64,stm_linear,32,0.002650535388102433
2,parallel,64,stm_linear,33,0.0003880050260588513
2,parallel,64,stm_linear,34,0.001449706287015718
2,parallel,64,stm_linear,35,1.1961039979192311e-05
2,parallel,64,stm_linear,36,0.0002468342073813779
2,parallel,64,stm_linear,37,3.083685725323633e-05
2,parallel,64,stm_linear,38,0.00014473919396015426
2,parallel,64,stm_linear,39,0.0007396898932923413
2,parallel,64,stm_linear,40,0.0007802489929822868
2,parallel,64,stm_linear,41,0.001674832955249324
2,parallel,64,stm_linear,42,0.0007302173138172968
2,parallel,64,stm_linear,43,0.00016216593999226987
2,parallel,64,stm_linear,44,1.745349476407193e-05
2,parallel,64,stm_linear,45,0.00026712683742574595
2,parallel,64,stm_linear,46,3.716020093923423e-05
2,parallel,64,stm_linear,47,0.0005245582224875019
2,parallel,64,stm_linear,48,0.00014150665428517775
2,parallel,64,stm_linear,49,1.2142273805986656e-07
2,parallel,64,stm_linear,50,0.0005130935445733367
2,parallel,64,s10_x_s20,-1,0.4842342129950513
3,parallel,64,stm_linear,0,0.9544953633596136
3,parallel,64,stm_linear,1,0.9980313237698301
3,parallel,64,stm_linear,2,0.9980627767222668
3,parallel,64,stm_linear,3,0.9896186234214243
3,parallel,64,stm_linear,4,0.9748442951126691
3,parallel,64,stm_linear,5,0.9810826421028811
3,parallel,64,stm_linear,6,0.971076111249986
3,parallel,64,stm_linear,7,0.9173231887985447
3,parallel,64,stm_linear,8,0.916086072883007
3,parallel,64,stm_linear,9,0.9028865803274911
