config,model,gamma,eta,threshold,tau_mem,ci95_lo,ci95_hi,n_seeds
M0_g0.02,M0,0.02,0.7853981633974483,0.05,23.0,22.0,23.0,20
M0_g0.02,M0,0.02,0.7853981633974483,0.1,17.0,16.0,18.0,20
M0_g0.02,M0,0.02,0.7853981633974483,0.2,10.0,9.0,11.0,20
M0_g0.05,M0,0.05,0.7853981633974483,0.05,23.0,23.0,24.0,20
M0_g0.05,M0,0.05,0.7853981633974483,0.1,19.0,18.0,20.0,20
M0_g0.05,M0,0.05,0.7853981633974483,0.2,13.0,13.0,14.0,20
M0_g0.1,M0,0.1,0.7853981633974483,0.05,22.0,21.0,23.0,20
M0_g0.1,M0,0.1,0.7853981633974483,0.1,19.0,18.0,19.0,20
M0_g0.1,M0,0.1,0.7853981633974483,0.2,14.0,13.0,15.0,20
M0_g0.2,M0,0.2,0.7853981633974483,0.05,19.0,19.0,20.0,20
M0_g0.2,M0,0.2,0.7853981633974483,0.1,17.0,16.0,17.0,20
M0_g0.2,M0,0.2,0.7853981633974483,0.2,14.0,13.0,14.0,20
g0.02_epi4,AB-embedded,0.02,0.7853981633974483,0.05,20.0,19.0,20.0,19
g0.02_epi4,AB-embedded,0.02,0.7853981633974483,0.1,19.0,17.0,19.0,19
g0.02_epi4,AB-embedded,0.02,0.7853981633974483,0.2,16.0,16.0,16.0,19
g0.05_epi4,AB-embedded,0.05,0.7853981633974483,0.05,19.0,19.0,20.0,20
g0.05_epi4,AB-embedded,0.05,0.7853981633974483,0.1,19.0,16.0,19.0,20
g0.05_epi4,AB-embedded,0.05,0.7853981633974483,0.2,16.0,15.0,16.0,20
g0.1_e3pi8,AB-embedded,0.1,1.1780972450961724,0.05,20.0,18.0,20.0,20
g0.1_e3pi8,AB-embedded,0.1,1.1780972450961724,0.1,18.0,18.0,18.0,20
g0.1_e3pi8,AB-embedded,0.1,1.1780972450961724,0.2,16.0,15.0,16.0,20
g0.1_epi4,AB-embedded,0.1,0.7853981633974483,0.05,19.0,19.0,19.0,20
g0.1_epi4,AB-embedded,0.1,0.7853981633974483,0.1,16.0,16.0,19.0,20
g0.1_epi4,AB-embedded,0.1,0.7853981633974483,0.2,15.0,15.0,16.0,20
g0.1_epi8,AB-embedded,0.1,0.3926990816987241,0.05,18.0,18.0,18.0,20
g0.1_epi8,AB-embedded,0.1,0.3926990816987241,0.1,17.0,17.0,17.0,20
g0.1_epi8,AB-embedded,0.1,0.3926990816987241,0.2,16.0,16.0,16.0,20
