seed,model,tau,capacity
0,M0,0,0.9182762097026385
0,M0,1,0.8963906649950103
0,M0,2,0.8214421870402917
0,M0,3,0.642234268728159
0,M0,4,0.6396192304882056
0,M0,5,0.5644101272117609
0,M0,6,0.5133474682345457
0,M0,7,0.45775580070637817
0,M0,8,0.45047026744602425
0,M0,9,0.4277974694368181
0,M0,10,0.3560528554195004
0,M0,11,0.3526372519310659
0,M0,12,0.2912713879989041
0,M0,13,0.2468722989420662
0,M0,14,0.21456566420783818
0,M0,15,0.1610653803551006
0,M0,16,0.1186457402270328
0,M0,17,0.15837192318646237
0,M0,18,0.14657390770479678
0,M0,19,0.11725523484129892
0,M0,20,0.12281106846102566
0,M0,21,0.07457049434091141
0,M0,22,0.056621612428379306
0,M0,23,0.03332056941280764
0,M0,24,0.01386230283649017
0,M0,25,0.013708420337716215
0,M0,26,0.008915915672468326
0,M0,27,0.0035421200722859703
0,M0,28,0.0016697195615258831
0,M0,29,0.003400009676410694
0,M0,30,0.0001611003390092842
0,M0,31,0.002650947393455394
0,M0,32,0.00011392934811550387
0,M0,33,0.0002485888199315598
0,M0,34,3.5024709350211886e-05
0,M0,35,2.8214642545149992e-05
0,M0,36,0.00015632614078299448
0,M0,37,0.00019369328155973054
0,M0,38,0.0009567769028724823
0,M0,39,0.0026962235307784943
0,M0,40,0.0009508003646824568
0,R1,0,0.9988170352704321
0,R1,1,0.9964166232314773
0,R1,2,0.9875828554475939
0,R1,3,0.9831222977627154
0,R1,4,0.9799594404439909
0,R1,5,0.9744757743655349
0,R1,6,0.9369665343909839
0,R1,7,0.8685319245061162
0,R1,8,0.7479844300737579
0,R1,9,0.7448086673662585
0,R1,10,0.7585670322950322
0,R1,11,0.612281163932239
0,R1,12,0.3401219806416851
0,R1,13,0.23623098665282205
0,R1,14,0.15199790680740644
0,R1,15,0.2461692768751492
0,R1,16,0.11525116655812795
0,R1,17,0.015886377422188607
0,R1,18,0.005221315101781075
0,R1,19,0.003956330453750952
0,R1,20,0.0004104289817409862
0,R1,21,0.0003822667698831906
0,R1,22,0.0001300253040794257
0,R1,23,0.008829562888119466
0,R1,24,0.009133680084379887
0,R1,25,0.0017503599765267195
0,R1,26,0.00010006223625278492
0,R1,27,0.005749850418204465
0,R1,28,0.0033328998217037158
0,R1,29,0.0032703447436518325
0,R1,30,0.0012491966722076157
0,R1,31,0.0005854429286436117
0,R1,32,6.670589885367908e-05
0,R1,33,0.001819771993989113
0,R1,34,0.00024979958726243
0,R1,35,0.0074389779730078195
0,R1,36,0.0009643344207604831
0,R1,37,0.0004132261460497205
0,R1,38,0.005847826961775401
0,R1,39,3.30476759941589e-05
0,R1,40,5.327459228004772e-05
0,R-ABC,0,0.9994293335327781
0,R-ABC,1,0.997702711170368
0,R-ABC,2,0.99464600638041
0,R-ABC,3,0.9801269588589329
0,R-ABC,4,0.9774493518735557
0,R-ABC,5,0.930163139718286
0,R-ABC,6,0.9153770641248038
0,R-ABC,7,0.7957983670858353
0,R-ABC,8,0.7224179934883723
0,R-ABC,9,0.5418727838299651
0,R-ABC,10,0.4429485258061257
0,R-ABC,11,0.333377673150986
0,R-ABC,12,0.20721903705888395
0,R-ABC,13,0.18819039404006982
0,R-ABC,14,0.10367550563050477
0,R-ABC,15,0.04463750421607273
0,R-ABC,16,0.016743171506441237
0,R-ABC,17,0.0010992230704218351
0,R-ABC,18,0.006524326326099767
0,R-ABC,19,0.0031089934254112843
0,R-ABC,20,0.0013519069381639531
0,R-ABC,21,0.0005906937508808541
0,R-ABC,22,1.7926530169714913e-06
0,R-ABC,23,0.003061369049168288
0,R-ABC,24,0.009000370818217439
0,R-ABC,25,0.015055281184178598
0,R-ABC,26,0.0002555102967509751
0,R-ABC,27,0.0027270538965032593
0,R-ABC,28,4.916505537663364e-05
0,R-ABC,29,5.8312764306175715e-05
0,R-ABC,30,0.001746219416018884
0,R-ABC,31,0.00010084737940134673
0,R-ABC,32,8.403924828791662e-06
0,R-ABC,33,0.0024689517767811486
0,R-ABC,34,0.0013872982425570373
0,R-ABC,35,0.0011946878960352291
0,R-ABC,36,0.0015807718096659722
0,R-ABC,37,6.173869927751237e-05
0,R-ABC,38,0.00017772664776559915
0,R-ABC,39,0.00014431028112823834
0,R-ABC,40,0.0013159894269080801
1,M0,0,0.929195835908389
1,M0,1,0.9045723305261252
1,M0,2,0.8022360564188757
1,M0,3,0.7034495026897843
1,M0,4,0.6862463383681581
1,M0,5,0.6275268363078257
1,M0,6,0.5837583101999337
1,M0,7,0.5061573396097262
1,M0,8,0.4691343888787258
1,M0,9,0.3855257461176739
1,M0,10,0.3335551376684848
1,M0,11,0.35736173506426894
1,M0,12,0.31654389696276564
1,M0,13,0.30611127716423414
1,M0,14,0.2334324898375562
1,M0,15,0.19709491441861138
1,M0,16,0.22541419911850052
1,M0,17,0.2033771333187586
1,M0,18,0.16916186950445342
1,M0,19,0.09008729815800393
1,M0,20,0.09162518938412886
