seed,tau_A,tau_B,tau_C,tau_A_R1,tau_B_R1,n_obs_A,n_obs_B,n_obs_C
0,1.0,1.0,2.0,1.0,1.0,66,66,66
1,1.0,1.0,2.0,1.0,1.0,66,66,66
2,1.0,1.0,1.0,1.0,1.0,66,66,66
3,1.0,1.0,2.0,1.0,1.0,66,66,66
4,1.0,1.0,2.0,1.0,1.0,66,66,66
5,1.0,1.0,2.0,1.0,1.0,66,66,66
6,1.0,1.0,2.0,1.0,1.0,66,66,66
7,1.0,1.0,2.0,1.0,1.0,66,66,66
8,1.0,1.0,2.0,1.0,1.0,66,66,66
9,1.0,1.0,2.0,1.0,1.0,66,66,66
10,1.0,1.0,2.0,1.0,1.0,66,66,66
11,1.0,1.0,2.0,1.0,1.0,66,66,66
12,1.0,1.0,2.0,1.0,1.0,66,66,66
13,1.0,1.0,2.0,1.0,1.0,66,66,66
14,1.0,1.0,2.0,1.0,1.0,66,66,66
15,1.0,1.0,2.0,1.0,1.0,66,66,66
16,1.0,1.0,2.0,1.0,1.0,66,66,66
17,1.0,1.0,2.0,1.0,1.0,66,66,66
18,1.0,1.0,2.0,1.0,1.0,66,66,66
19,1.0,1.0,2.0,1.0,1.0,66,66,66
