seed,model,n_revivals,revival_taus,tau_at_global_peak,total_stm_capacity
0,M0,1,17,0,8.835669197077003
0,R1,1,15,0,11.75616020567441
0,R-ABC,0,-,0,10.244846466201254
1,M0,2,11;16,0,9.351904082202834
1,R1,1,14,0,11.781543651040906
1,R-ABC,0,-,0,10.727983997477919
2,M0,1,8,0,7.243193550936696
2,R1,2,15;20,0,11.838278633159623
2,R-ABC,0,-,0,10.147325695036635
3,M0,2,10;20,0,8.663980023216547
3,R1,2,9;15,0,12.657682369422195
3,R-ABC,0,-,0,10.520478540585746
4,M0,0,-,0,9.228160932306988
4,R1,1,9,0,11.740663553253427
4,R-ABC,0,-,0,10.387671685466104
5,M0,3,4;20;29,0,8.500123664583876
5,R1,3,9;15;20,0,11.978860065220804
5,R-ABC,0,-,0,10.359434915023602
6,M0,1,12,0,7.842367476464307
6,R1,4,10;16;21;26,0,12.692499450782085
6,R-ABC,0,-,0,10.460662530250975
7,M0,1,16,0,10.415359466367908
7,R1,2,9;15,0,12.286920869884442
7,R-ABC,1,16,0,11.01608451712973
8,M0,1,19,0,8.503745373000289
8,R1,1,15,0,11.855839265883095
8,R-ABC,0,-,0,9.85505359754655
9,M0,2,6;24,0,9.372183375731911
9,R1,0,-,0,12.333871502751334
9,R-ABC,0,-,0,10.614208034911512
10,M0,0,-,0,10.55269035012666
10,R1,0,-,0,12.31947318843276
10,R-ABC,0,-,0,10.908782200180287
11,M0,3,10;17;26,0,10.908939556369747
11,R1,1,9,0,12.335522681017492
11,R-ABC,0,-,0,10.550707182699046
12,M0,0,-,0,8.112816522425648
12,R1,2,15;21,0,12.126764759459027
12,R-ABC,0,-,0,10.167268551367645
13,M0,1,9,0,8.698088157913848
13,R1,1,20,0,11.944948092940026
13,R-ABC,0,-,0,10.138033700423764
14,M0,2,11;25,0,8.561019315208949
14,R1,4,10;15;20;22,0,12.111238071871155
14,R-ABC,0,-,0,10.384380676254732
15,M0,0,-,0,8.450486137107863
15,R1,0,-,0,11.989506856136952
15,R-ABC,0,-,0,10.305551558991011
16,M0,1,14,0,7.641752565982139
16,R1,2,9;15,0,12.453856553717644
16,R-ABC,0,-,0,10.272074344296264
17,M0,1,13,0,7.346604052101702
17,R1,2,15;20,0,11.924444710996145
17,R-ABC,0,-,0,10.055382402164263
18,M0,2,13;22,0,7.897614344387828
18,R1,0,-,0,11.466844552462796
18,R-ABC,0,-,0,10.068786799089509
19,M0,1,31,0,8.028068856096228
19,R1,2,10;15,0,11.800778180757442
19,R-ABC,0,-,0,10.452615978991863
