series,comparison,metric,n_present,n_a_valid,n_b_valid,n_gated_both_valid,inconclusive_lt_min,gate,mean_a,mean_b,median_a,median_b,ungated_note,mean_diff_a_minus_b,ci95_lo,ci95_hi,cohen_dz,wins,losses,p_wilcoxon
standard,AB-noaux-kraus vs M0-noaux,valid_prediction_time,20,0,1,0,True,teacher_forced_ok & out_of_range<= 0.5,5.75,10.85,4.0,12.0,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,AB-noaux-kraus vs M0-noaux,nrmse_150,20,0,1,0,True,teacher_forced_ok & out_of_range<= 0.5,2.435127846526689,6.193277549625313,2.427384016261893,5.017518910084286,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,AB-noaux-kraus vs M0-noaux,mse_150,20,0,1,0,True,teacher_forced_ok & out_of_range<= 0.5,0.3610790148974169,3.159916714741966,0.3513924074688888,1.506806199046888,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,AB-noaux-kraus vs M0-noaux,r2_150,20,0,1,0,True,teacher_forced_ok & out_of_range<= 0.5,-5.0562122324220855,-51.99982959877133,-4.8937432215437076,-24.272967295398686,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,ABC-noaux-kraus vs AB-noaux-kraus,valid_prediction_time,20,0,0,0,True,teacher_forced_ok & out_of_range<= 0.5,1.15,5.75,1.0,4.0,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,ABC-noaux-kraus vs AB-noaux-kraus,nrmse_150,20,0,0,0,True,teacher_forced_ok & out_of_range<= 0.5,1.334915448686163,2.435127846526689,0.8348771056296919,2.427384016261893,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,ABC-noaux-kraus vs AB-noaux-kraus,mse_150,20,0,0,0,True,teacher_forced_ok & out_of_range<= 0.5,0.17537369055573165,0.3610790148974169,0.041557370965832396,0.3513924074688888,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,ABC-noaux-kraus vs AB-noaux-kraus,r2_150,20,0,0,0,True,teacher_forced_ok & out_of_range<= 0.5,-1.9414622455707438,-5.0562122324220855,0.30297733181176556,-4.8937432215437076,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,ABC-noaux-hierarchical vs ABC-noaux-tied,valid_prediction_time,20,0,20,0,True,teacher_forced_ok & out_of_range<= 0.5,1.15,40.95,1.0,42.5,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,ABC-noaux-hierarchical vs ABC-noaux-tied,nrmse_150,20,0,20,0,True,teacher_forced_ok & out_of_range<= 0.5,1.334915448686163,0.7719063614392944,0.8348771056296919,0.6620952081053564,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,ABC-noaux-hierarchical vs ABC-noaux-tied,mse_150,20,0,20,0,True,teacher_forced_ok & out_of_range<= 0.5,0.17537369055573165,0.0403196510991407,0.041557370965832396,0.0261410142886688,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,ABC-noaux-hierarchical vs ABC-noaux-tied,r2_150,20,0,20,0,True,teacher_forced_ok & out_of_range<= 0.5,-1.9414622455707438,0.3237370378254192,0.30297733181176556,0.5615487913416004,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,AB-embedded vs AB-Markov,valid_prediction_time,20,19,0,0,True,teacher_forced_ok & out_of_range<= 0.5,34.45,2.1,42.0,2.0,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,AB-embedded vs AB-Markov,nrmse_150,20,19,0,0,True,teacher_forced_ok & out_of_range<= 0.5,0.8469655091464435,0.984150423099833,0.8435760621559751,0.9807905870220016,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,AB-embedded vs AB-Markov,mse_150,20,19,0,0,True,teacher_forced_ok & out_of_range<= 0.5,0.04715739541899454,0.05775797356378415,0.042626300541122944,0.057352735558346704,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,AB-embedded vs AB-Markov,r2_150,20,19,0,0,True,teacher_forced_ok & out_of_range<= 0.5,0.20905069748565067,0.03125207617983972,0.285048667717809,0.038048946848908444,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,ABC-embedded-hierarchical vs AB-embedded,valid_prediction_time,20,19,19,18,True,teacher_forced_ok & out_of_range<= 0.5,28.61111111111111,35.111111111111114,28.0,42.0,,-6.5,-12.168055555555554,-0.9430555555555631,-0.518222799642366,5.0,12.0,0.05388598318495359
standard,ABC-embedded-hierarchical vs AB-embedded,nrmse_150,20,19,19,18,True,teacher_forced_ok & out_of_range<= 0.5,1.2307454506793727,0.8004675860308205,1.267403134602349,0.7697879961650556,,0.43027786464855244,0.3011369443097354,0.5556861801489731,1.5362941195134114,17.0,1.0,1.52587890625e-05
standard,ABC-embedded-hierarchical vs AB-embedded,mse_150,20,19,19,18,True,teacher_forced_ok & out_of_range<= 0.5,0.09870835251963633,0.04154039501875113,0.0957710553532114,0.035345390392950246,,0.0571679575008852,0.03661521530366597,0.07874524032342511,1.1928400149289096,17.0,1.0,1.52587890625e-05
standard,ABC-embedded-hierarchical vs AB-embedded,r2_150,20,19,19,18,True,teacher_forced_ok & out_of_range<= 0.5,-0.6555897942213249,0.30326206156378305,-0.6063238599088174,0.4071680246542875,,-0.9588518557851078,-1.320757695728264,-0.6141301644955179,-1.1928400149289096,1.0,17.0,1.52587890625e-05
standard,ABC-embedded-hierarchical vs ABC-embedded-tied,valid_prediction_time,20,19,18,17,True,teacher_forced_ok & out_of_range<= 0.5,29.0,35.294117647058826,28.0,36.0,,-6.294117647058823,-14.53235294117647,1.4705882352941178,-0.37211679855317176,4.0,12.0,0.10846758424799884
standard,ABC-embedded-hierarchical vs ABC-embedded-tied,nrmse_150,20,19,18,17,True,teacher_forced_ok & out_of_range<= 0.5,1.164151648177014,1.018203488263296,1.1209200571975124,1.0303769789706554,,0.1459481599137183,-0.025902413904300512,0.3283319368313522,0.37451101712457835,12.0,5.0,0.1454315185546875
standard,ABC-embedded-hierarchical vs ABC-embedded-tied,mse_150,20,19,18,17,True,teacher_forced_ok & out_of_range<= 0.5,0.08664040721707568,0.06504187591508939,0.0749118363801755,0.0632985055756333,,0.02159853130198627,0.00013752449555499565,0.04442057797001781,0.44016656707106827,12.0,5.0,0.0983734130859375
standard,ABC-embedded-hierarchical vs ABC-embedded-tied,r2_150,20,19,18,17,True,teacher_forced_ok & out_of_range<= 0.5,-0.4531796985187752,-0.09091746760346565,-0.2564617746276747,-0.0616767187926945,,-0.36226223091530946,-0.7450459222885326,-0.0023066351072063853,-0.44016656707106827,5.0,12.0,0.0983734130859375
standard,ABC-embedded-hierarchical vs ABC-noaux-hierarchical,valid_prediction_time,20,19,0,0,True,teacher_forced_ok & out_of_range<= 0.5,28.25,1.15,28.0,1.0,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,ABC-embedded-hierarchical vs ABC-noaux-hierarchical,nrmse_150,20,19,0,0,True,teacher_forced_ok & out_of_range<= 0.5,1.6289958788618104,1.334915448686163,1.267403134602349,0.8348771056296919,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,ABC-embedded-hierarchical vs ABC-noaux-hierarchical,mse_150,20,19,0,0,True,teacher_forced_ok & out_of_range<= 0.5,0.35430200873081424,0.17537369055573165,0.0957710553532114,0.041557370965832396,n_gated=0; means shown are ungated (all seeds),,,,,,,
standard,ABC-embedded-hierarchical vs ABC-noaux-hierarchical,r2_150,20,19,0,0,True,teacher_forced_ok & out_of_range<= 0.5,-4.942544625189251,-1.9414622455707438,-0.6063238599088174,0.30297733181176556,n_gated=0; means shown are ungated (all seeds),,,,,,,
two_delay,AB-noaux-kraus vs M0-noaux,valid_prediction_time,20,19,19,18,True,teacher_forced_ok & out_of_range<= 0.5,660.8333333333334,622.3333333333334,656.0,852.0,,38.5,-212.0986111111111,298.12916666666655,0.0689116722962697,7.0,8.0,0.6909447568979337
