tau_b,lambda_b,architecture,task,objective,source,p_b,tau_c,lambda_c,p_c,omega,eta,omega_b,omega_c,eta_ab,eta_bc,eta_ac
9.0,0.8451962055003748,AB-noaux-residual,paper_s0_s10,0.8608238221570561,optuna_v2_gpu,,,,,,,,,,,
9.0,0.8495014699745325,AB-noaux-kraus,paper_s0_s10,0.9656169527122561,optuna_v2_gpu,0.56931398695743,,,,,,,,,,
9.0,0.8486596486696415,ABC-noaux-kraus,paper_s0_s10,0.9888324611296192,optuna_v2_gpu,0.2589028675324969,16.0,0.06208774635945875,0.9281704304403289,,,,,,,
36.0,0.07789775317991204,ABC-noaux-tied,paper_s0_s10,0.6216136337459837,optuna_v2_gpu,0.9955929148811546,42.0,0.8287266046297188,,,,,,,,
9.0,0.8486596486696415,ABC-noaux-hierarchical,paper_s0_s10,0.9888324611296192,optuna_v2_gpu,0.2589028675324969,16.0,0.06208774635945875,0.9281704304403289,,,,,,,
,,AB-embedded,paper_s0_s10,0.7737958330820195,optuna_v2_gpu,,,,,0.141584241652351,0.5667489559772895,,,,,
,,ABC-embedded-hierarchical,paper_s0_s10,0.5907688880963531,optuna_v2_gpu,,,,,,,0.8324426408004217,0.21233911067827616,0.3174274938878061,0.31975067941004887,
,,ABC-embedded-tied,paper_s0_s10,0.7683773592134533,optuna_v2_gpu,,,,,0.07234028289348726,0.5040072748425045,,,,,
,,ABC-embedded-parallel,paper_s0_s10,0.7029228902794006,optuna_v2_gpu,,,,,,,0.10579403712830973,0.08886586747910549,0.6508956346517367,,0.5924638929864049
3.0,0.7362497239086949,AB-noaux-residual,p1_0_10_30,0.007951445282180314,optuna_v2_gpu,,,,,,,,,,,
9.0,0.7578682048845904,AB-noaux-kraus,p1_0_10_30,0.010939298365470026,optuna_v2_gpu,0.4850434897316451,,,,,,,,,,
26.0,0.8143887314924048,ABC-noaux-kraus,p1_0_10_30,0.009355013736440907,optuna_v2_gpu,0.6027227677167138,40.0,0.0889262844241954,0.8437591930380541,,,,,,,
9.0,0.7165260526927136,ABC-noaux-tied,p1_0_10_30,0.010853006838230522,optuna_v2_gpu,0.3944497642389666,16.0,0.11984267222021114,,,,,,,,
26.0,0.8143887314924048,ABC-noaux-hierarchical,p1_0_10_30,0.009355013736440907,optuna_v2_gpu,0.6027227677167138,40.0,0.0889262844241954,0.8437591930380541,,,,,,,
,,AB-embedded,p1_0_10_30,0.014170497566893267,optuna_v2_gpu,,,,,0.10598134959081039,0.25615955606613167,,,,,
,,ABC-embedded-hierarchical,p1_0_10_30,0.010024876542456027,optuna_v2_gpu,,,,,,,0.39018197572576196,0.7613592305412217,0.5056949403574857,0.48132273683257165,
,,ABC-embedded-tied,p1_0_10_30,0.013603757528458459,optuna_v2_gpu,,,,,0.14003256380068219,0.3116896692046979,,,,,
,,ABC-embedded-parallel,p1_0_10_30,0.014198159037468301,optuna_v2_gpu,,,,,,,0.3485627943218816,0.20503260133953277,0.3657779073760694,,0.3784278913765508
8.0,0.3950098089991721,AB-noaux-residual,s0_s10_s30,0.3962120961628389,optuna_v2_gpu,,,,,,,,,,,
9.0,0.6185241223015561,AB-noaux-kraus,s0_s10_s30,0.5078119652813171,optuna_v2_gpu,0.69237346522938,,,,,,,,,,
29.0,0.46009696789864574,ABC-noaux-kraus,s0_s10_s30,0.5380558906304604,optuna_v2_gpu,0.4986430469169311,33.0,0.1189104737153501,0.09248538103814544,,,,,,,
29.0,0.8238793742414102,ABC-noaux-tied,s0_s10_s30,0.39212765075923833,optuna_v2_gpu,0.8904794611099098,40.0,0.0013859634240039886,,,,,,,,
29.0,0.46009696789864574,ABC-noaux-hierarchical,s0_s10_s30,0.5380558906304604,optuna_v2_gpu,0.4986430469169311,33.0,0.1189104737153501,0.09248538103814544,,,,,,,
,,AB-embedded,s0_s10_s30,0.39225817695711995,optuna_v2_gpu,,,,,0.12414689442271444,0.836009698035427,,,,,
,,ABC-embedded-hierarchical,s0_s10_s30,0.3237651287392487,optuna_v2_gpu,,,,,,,0.2359108331050072,0.4365372006585365,0.6081092010198614,0.305679518708083,
,,ABC-embedded-tied,s0_s10_s30,0.3743832995245961,optuna_v2_gpu,,,,,0.07445104261012839,0.6943060875540987,,,,,
,,ABC-embedded-parallel,s0_s10_s30,0.34442975053692404,optuna_v2_gpu,,,,,,,0.1118037421852931,0.07415463393802774,0.33977943380614395,,0.96741803621035
