seed,embedded_model,noaux_model,embedded_mse_150,noaux_mse_150,embedded_vpt,noaux_vpt
0,AB-embedded,AB-noaux-kraus,0.0668543059014749,0.3036688569860131,36.0,8.0
0,ABC-embedded-hierarchical,ABC-noaux-hierarchical,0.1123546153235841,0.0417265136835913,35.0,1.0
1,AB-embedded,AB-noaux-kraus,0.0161585172849744,0.2933281848564651,56.0,4.0
1,ABC-embedded-hierarchical,ABC-noaux-hierarchical,0.1015678361426653,0.4733357868451078,29.0,1.0
2,AB-embedded,AB-noaux-kraus,0.0204384510158334,0.297384937432165,42.0,8.0
2,ABC-embedded-hierarchical,ABC-noaux-hierarchical,0.0963191807870314,0.0501576094118798,28.0,1.0
3,AB-embedded,AB-noaux-kraus,0.029925518146002,0.5174686013356643,42.0,4.0
3,ABC-embedded-hierarchical,ABC-noaux-hierarchical,0.0490387521212153,0.1472838501652476,28.0,2.0
4,AB-embedded,AB-noaux-kraus,0.0245032544463627,0.3078633804037479,43.0,14.0
4,ABC-embedded-hierarchical,ABC-noaux-hierarchical,0.0479760090601726,0.0359775700710389,29.0,1.0
5,AB-embedded,AB-noaux-kraus,0.033869812126207,0.3339613542500447,42.0,8.0
5,ABC-embedded-hierarchical,ABC-noaux-hierarchical,0.1384955270847915,0.0196340302157065,22.0,1.0
6,AB-embedded,AB-noaux-kraus,0.0684912789341569,0.4325059501835451,15.0,4.0
6,ABC-embedded-hierarchical,ABC-noaux-hierarchical,5.243775451758361,0.030092812474978,22.0,1.0
7,AB-embedded,AB-noaux-kraus,0.1011831320335726,0.30449863712797,36.0,4.0
7,ABC-embedded-hierarchical,ABC-noaux-hierarchical,0.1565611346599241,0.028863812555265,28.0,1.0
8,AB-embedded,AB-noaux-kraus,0.0494245270770109,0.2670053842116197,15.0,4.0
8,ABC-embedded-hierarchical,ABC-noaux-hierarchical,0.0510671867004524,1.5130882049182848,29.0,1.0
9,AB-embedded,AB-noaux-kraus,0.0565520987094642,0.1089799176615615,15.0,4.0
9,ABC-embedded-hierarchical,ABC-noaux-hierarchical,0.1192183823019414,0.0770145187563954,29.0,1.0
10,AB-embedded,AB-noaux-kraus,0.0237944013359113,0.3627881802305039,42.0,4.0
10,ABC-embedded-hierarchical,ABC-noaux-hierarchical,0.0229916754946844,0.0405353140230802,43.0,2.0
11,AB-embedded,AB-noaux-kraus,0.0368209686596935,0.4278344346389434,42.0,13.0
11,ABC-embedded-hierarchical,ABC-noaux-hierarchical,0.0952229299193914,0.0310087583107552,28.0,1.0
12,AB-embedded,AB-noaux-kraus,0.0505058843417429,0.4407038119048939,15.0,4.0
12,ABC-embedded-hierarchical,ABC-noaux-hierarchical,0.1313144814612431,0.0413882282480735,15.0,1.0
13,AB-embedded,AB-noaux-kraus,0.0246134016757545,0.4635286537141799,42.0,4.0
13,ABC-embedded-hierarchical,ABC-noaux-hierarchical,0.0711419873211193,0.0241762221355409,29.0,1.0
14,AB-embedded,AB-noaux-kraus,0.0484316324225524,0.2577619239499831,15.0,4.0
14,ABC-embedded-hierarchical,ABC-noaux-hierarchical,0.1624753197314515,0.4651989416540398,21.0,1.0
15,AB-embedded,AB-noaux-kraus,0.0584306419574405,0.3983306553886571,27.0,4.0
15,ABC-embedded-hierarchical,ABC-noaux-hierarchical,0.0749118363801755,0.0365365314261714,22.0,1.0
16,AB-embedded,AB-noaux-kraus,0.1269295191082136,0.441458576990219,42.0,8.0
16,ABC-embedded-hierarchical,ABC-noaux-hierarchical,0.0655143775044708,0.0203244192411452,28.0,2.0
17,AB-embedded,AB-noaux-kraus,0.0798935727253313,0.3399966347072736,15.0,4.0
17,ABC-embedded-hierarchical,ABC-noaux-hierarchical,0.2730586193806071,0.2144671826138205,22.0,1.0
18,AB-embedded,AB-noaux-kraus,0.0179314901657601,0.4440288152263352,50.0,4.0
18,ABC-embedded-hierarchical,ABC-noaux-hierarchical,0.0485178549376929,0.1745002072751502,22.0,1.0
19,AB-embedded,AB-noaux-kraus,0.0083955003124317,0.4784834067485518,57.0,4.0
19,ABC-embedded-hierarchical,ABC-noaux-hierarchical,0.0245170165453107,0.0421632970893617,56.0,1.0
