tau_b,lambda_b,architecture,task,objective,source,p_b,tau_c,lambda_c,p_c,omega,eta,omega_b,omega_c,eta_ab,eta_bc,eta_ac
9.0,0.8451962055003748,AB-noaux-residual,paper_s0_s10,0.8608238221570561,optuna_v2_gpu,,,,,,,,,,,
9.0,0.8495014699745325,AB-noaux-kraus,paper_s0_s10,0.9656169527122561,optuna_v2_gpu,0.56931398695743,,,,,,,,,,
9.0,0.8486596486696415,ABC-noaux-kraus,paper_s0_s10,0.9888324611296192,optuna_v2_gpu,0.2589028675324969,16.0,0.06208774635945875,0.9281704304403289,,,,,,,
36.0,0.07789775317991204,ABC-noaux-tied,paper_s0_s10,0.6216136337459837,optuna_v2_gpu,0.9955929148811546,42.0,0.8287266046297188,,,,,,,,
9.0,0.8486596486696415,ABC-noaux-hierarchical,paper_s0_s10,0.9888324611296192,optuna_v2_gpu,0.2589028675324969,16.0,0.06208774635945875,0.9281704304403289,,,,,,,
3.0,0.7362497239086949,AB-noaux-residual,p1_0_10_30,0.007951445282180314,optuna_v2_gpu,,,,,,,,,,,
9.0,0.7578682048845904,AB-noaux-kraus,p1_0_10_30,0.010939298365470026,optuna_v2_gpu,0.4850434897316451,,,,,,,,,,
26.0,0.8143887314924048,ABC-noaux-kraus,p1_0_10_30,0.009355013736440907,optuna_v2_gpu,0.6027227677167138,40.0,0.0889262844241954,0.8437591930380541,,,,,,,
9.0,0.7165260526927136,ABC-noaux-tied,p1_0_10_30,0.010853006838230522,optuna_v2_gpu,0.3944497642389666,16.0,0.11984267222021114,,,,,,,,
26.0,0.8143887314924048,ABC-noaux-hierarchical,p1_0_10_30,0.009355013736440907,optuna_v2_gpu,0.6027227677167138,40.0,0.0889262844241954,0.8437591930380541,,,,,,,
8.0,0.3950098089991721,AB-noaux-residual,s0_s10_s30,0.3962120961628389,optuna_v2_gpu,,,,,,,,,,,
9.0,0.6185241223015561,AB-noaux-kraus,s0_s10_s30,0.5078119652813171,optuna_v2_gpu,0.69237346522938,,,,,,,,,,
29.0,0.46009696789864574,ABC-noaux-kraus,s0_s10_s30,0.5380558906304604,optuna_v2_gpu,0.4986430469169311,33.0,0.1189104737153501,0.09248538103814544,,,,,,,
29.0,0.8238793742414102,ABC-noaux-tied,s0_s10_s30,0.39212765075923833,optuna_v2_gpu,0.8904794611099098,40.0,0.0013859634240039886,,,,,,,,
29.0,0.46009696789864574,ABC-noaux-hierarchical,s0_s10_s30,0.5380558906304604,optuna_v2_gpu,0.4986430469169311,33.0,0.1189104737153501,0.09248538103814544,,,,,,,
