architecture,task,trial,value,state,omega,eta
AB-embedded,paper_s0_s10,0,0.3091363390451203,TrialState.COMPLETE,0.3745401188473625,1.4483071096990625
AB-embedded,paper_s0_s10,1,0.4350157588012247,TrialState.COMPLETE,0.7319939418114051,0.9305046995616021
AB-embedded,paper_s0_s10,2,0.647061192395326,TrialState.COMPLETE,0.15601864044243652,0.2794361675106186
AB-embedded,paper_s0_s10,3,0.6734563905470887,TrialState.COMPLETE,0.05808361216819946,1.3239686935631354
AB-embedded,paper_s0_s10,4,0.431424632505228,TrialState.COMPLETE,0.6011150117432088,1.0914305465266174
AB-embedded,paper_s0_s10,5,0.1715224027871239,TrialState.COMPLETE,0.020584494295802447,1.4765398478820424
AB-embedded,paper_s0_s10,6,0.5810998954432942,TrialState.COMPLETE,0.8324426408004217,0.36230758402050356
AB-embedded,paper_s0_s10,7,0.66445306198641,TrialState.COMPLETE,0.18182496720710062,0.31975067941004887
AB-embedded,paper_s0_s10,8,0.5723137310005416,TrialState.COMPLETE,0.3042422429595377,0.8218098321066927
AB-embedded,paper_s0_s10,9,0.5116814642037495,TrialState.COMPLETE,0.43194501864211576,0.478338749658916
AB-embedded,paper_s0_s10,10,0.46673349399889064,TrialState.COMPLETE,0.9522541012238168,0.058820634662532845
AB-embedded,paper_s0_s10,11,0.6461079847908737,TrialState.COMPLETE,0.007547319316293044,0.7509580565216173
AB-embedded,paper_s0_s10,12,0.6401126717832415,TrialState.COMPLETE,0.18889657697598838,1.2124396614896749
AB-embedded,paper_s0_s10,13,0.7428217496971707,TrialState.COMPLETE,0.18569602754814438,0.6230250771909195
AB-embedded,paper_s0_s10,14,0.45775698532083864,TrialState.COMPLETE,0.4946443014220542,0.6083205268582204
AB-embedded,paper_s0_s10,15,0.4902066075092034,TrialState.COMPLETE,0.2807609542397041,1.2242475292710506
AB-embedded,paper_s0_s10,16,0.7270384891742039,TrialState.COMPLETE,0.09955830049821958,1.09616135891561
AB-embedded,paper_s0_s10,17,0.67164989563184,TrialState.COMPLETE,0.14156330794828348,1.026195652387894
