seed,model,step,trace_distance_A,final,converged,threshold,seconds
0,AB-embedded_omega1.0,1,0.9361816644668579,,,,
0,AB-embedded_omega1.0,5,0.030299972742795944,,,,
0,AB-embedded_omega1.0,10,0.0004968682187609375,,,,
0,AB-embedded_omega1.0,20,1.6798142610241484e-07,,,,
0,AB-embedded_omega1.0,50,4.175204892931106e-08,,,,
0,AB-embedded_omega1.0,100,3.063910369860423e-08,,,,
0,AB-embedded_omega1.0,200,3.4932444492596915e-08,,,,
0,AB-embedded_omega1.0,300,1.8420296399312974e-08,,,,
0,AB-embedded_omega1.0,500,2.794952891349567e-08,,,,
0,AB-embedded_omega1.0,750,3.883952359728937e-08,,,,
0,AB-embedded_omega1.0,1000,2.6620064375038055e-08,,,,
0,AB-embedded_omega1.0,1000,2.6620064375038055e-08,True,True,0.001,7.4
0,AB-embedded_omega0.5,1,0.9361816644668579,,,,
0,AB-embedded_omega0.5,5,0.22160610556602478,,,,
0,AB-embedded_omega0.5,10,0.04725754261016846,,,,
0,AB-embedded_omega0.5,20,0.00239249924197793,,,,
0,AB-embedded_omega0.5,50,2.459021288814256e-07,,,,
0,AB-embedded_omega0.5,100,2.9693262959540334e-08,,,,
0,AB-embedded_omega0.5,200,9.044827997684024e-09,,,,
0,AB-embedded_omega0.5,300,9.160489256032633e-09,,,,
0,AB-embedded_omega0.5,500,2.7065937047154875e-08,,,,
0,AB-embedded_omega0.5,750,1.9542182982945633e-08,,,,
0,AB-embedded_omega0.5,1000,5.98554237285498e-08,,,,
0,AB-embedded_omega0.5,1000,5.98554237285498e-08,True,True,0.001,7.8
0,AB-embedded_omega0.0,1,0.9361817836761475,,,,
0,AB-embedded_omega0.0,5,0.7419646978378296,,,,
0,AB-embedded_omega0.0,10,0.5070204734802246,,,,
0,AB-embedded_omega0.0,20,0.32324856519699097,,,,
0,AB-embedded_omega0.0,50,0.09420433640480042,,,,
0,AB-embedded_omega0.0,100,0.013303982093930244,,,,
0,AB-embedded_omega0.0,200,0.0003176967438776046,,,,
0,AB-embedded_omega0.0,300,5.406073796621058e-06,,,,
0,AB-embedded_omega0.0,500,3.042081075932401e-08,,,,
0,AB-embedded_omega0.0,750,3.4791547420809366e-08,,,,
0,AB-embedded_omega0.0,1000,2.5690937377476075e-08,,,,
0,AB-embedded_omega0.0,1000,2.5690937377476075e-08,True,True,0.001,2.5
0,ABC-embedded-hierarchical_omegana,1,0.9361817836761475,,,,
0,ABC-embedded-hierarchical_omegana,5,0.2480044662952423,,,,
0,ABC-embedded-hierarchical_omegana,10,0.0639333575963974,,,,
0,ABC-embedded-hierarchical_omegana,20,0.005463149398565292,,,,
0,ABC-embedded-hierarchical_omegana,50,3.7464569686562754e-06,,,,
0,ABC-embedded-hierarchical_omegana,100,3.610692189681686e-08,,,,
0,ABC-embedded-hierarchical_omegana,200,1.6181378015289738e-08,,,,
0,ABC-embedded-hierarchical_omegana,300,3.5574657886172645e-08,,,,
0,ABC-embedded-hierarchical_omegana,500,1.0581019616040521e-08,,,,
0,ABC-embedded-hierarchical_omegana,750,4.5228631506688544e-08,,,,
0,ABC-embedded-hierarchical_omegana,1000,7.153021730488263e-09,,,,
